Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Belleau Éric O.N. - P.I.Q.;Caire Éric C.A.Q.-É.F.L.;Desgagnés Paule P.Q.;Dion-Garneau Camille É.A.;Gagnon France P.L.Q./Q.L.P.;Jobin-Lawler Alexandre Q.S.;Pouliot Thomas É.A.P. - P.C.Q.;B.V.;B.R.;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;1;287;0;76;31;1;38;7;3;156;1;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;2;281;0;96;13;1;38;11;0;159;1;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;3;267;2;85;23;0;34;8;1;153;4;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;4;262;0;76;17;1;46;7;1;148;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;5;249;0;62;13;0;27;2;1;105;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;6;279;0;71;21;1;44;7;2;146;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;7;278;0;94;17;0;32;6;0;149;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;8;270;1;79;19;0;36;4;1;140;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;1;;9;260;1;78;10;1;35;5;3;133;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;Regr. BVO-11;10;0;0;0;0;0;0;0;0;0;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;;11;415;0;89;12;2;48;6;0;157;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;;12;325;0;82;13;0;39;7;2;143;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;;13;308;0;73;14;1;29;9;2;128;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;;14;278;2;83;10;1;31;2;1;130;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;;15;322;2;73;16;0;42;8;3;144;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;;16;449;1;54;14;0;37;5;2;113;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;2;Regr. BVO-16;17;0;0;0;0;0;0;0;0;0;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;3;;18;295;5;94;12;0;24;5;2;142;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;3;;19;346;3;84;15;1;48;8;1;160;1;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;3;;20;309;0;94;17;1;49;5;4;170;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;3;;21;296;0;60;18;1;42;6;2;129;5;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;3;;22;296;0;76;13;0;37;3;1;130;1;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;23;370;0;116;11;1;75;9;2;214;1;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;24;349;0;114;20;0;77;4;7;222;5;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;25;349;3;135;6;0;56;13;8;221;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;26;333;0;122;17;0;55;6;4;204;6;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;27;339;1;126;25;1;63;5;2;223;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;28;308;3;122;16;1;39;9;3;193;5;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;29;326;1;142;12;0;54;8;2;219;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;30;324;2;83;35;1;50;13;0;184;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;31;330;1;117;17;1;54;14;2;206;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;32;310;0;108;15;0;39;8;4;174;4;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;33;296;2;86;11;1;52;5;0;157;4;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;4;;34;312;4;113;15;2;53;13;1;201;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;5;;35;283;1;85;13;2;48;6;0;155;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;5;;36;305;0;71;20;0;54;10;0;155;1;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;5;;37;335;2;93;16;0;44;7;1;163;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;5;;38;300;0;92;18;2;56;6;2;176;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;5;;39;319;2;98;10;0;56;10;1;177;2;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;5;;40;309;2;73;16;2;32;10;3;138;3;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;5;Regr. BVO-42;41;0;0;0;0;0;0;0;0;0;0;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;5;;42;344;2;56;14;1;47;10;2;132;4;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;5;;43;296;2;112;14;1;58;4;1;192;1;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;5;;44;291;1;86;23;0;47;6;0;163;1;
603;La Peltrie;2014-04-07;G;L'Ancienne-Lorette, v;5;;45;280;0;79;12;0;69;9;1;170;4;
603;La Peltrie;2014-04-07;G;Québec, v;1;;46;309;2;90;18;0;45;10;0;165;3;
603;La Peltrie;2014-04-07;G;Québec, v;1;;47;267;0;85;31;1;41;5;2;165;1;
603;La Peltrie;2014-04-07;G;Québec, v;1;;48;284;1;89;11;1;54;12;3;171;0;
603;La Peltrie;2014-04-07;G;Québec, v;1;;49;249;0;66;16;0;36;5;2;125;3;
603;La Peltrie;2014-04-07;G;Québec, v;1;;50;317;5;120;16;1;56;7;0;205;3;
603;La Peltrie;2014-04-07;G;Québec, v;1;;51;270;0;73;22;0;49;2;1;147;2;
603;La Peltrie;2014-04-07;G;Québec, v;1;;52;269;2;89;19;0;52;6;3;171;3;
603;La Peltrie;2014-04-07;G;Québec, v;1;;53;341;1;92;15;0;64;7;1;180;1;
603;La Peltrie;2014-04-07;G;Québec, v;2;;54;330;2;103;21;1;71;4;3;205;2;
603;La Peltrie;2014-04-07;G;Québec, v;2;;55;284;1;83;21;0;54;12;0;171;2;
603;La Peltrie;2014-04-07;G;Québec, v;2;;56;295;1;81;20;0;53;7;3;165;2;
603;La Peltrie;2014-04-07;G;Québec, v;2;;57;283;1;72;13;1;37;11;1;136;3;
603;La Peltrie;2014-04-07;G;Québec, v;2;;58;261;1;55;10;0;45;7;2;120;7;
603;La Peltrie;2014-04-07;G;Québec, v;2;;59;274;0;79;12;0;43;2;1;137;4;
603;La Peltrie;2014-04-07;G;Québec, v;3;;60;294;3;76;8;3;42;3;3;138;1;
603;La Peltrie;2014-04-07;G;Québec, v;3;;61;412;1;92;29;1;64;4;1;192;6;
603;La Peltrie;2014-04-07;G;Québec, v;3;;62;469;2;55;7;0;33;2;1;100;3;
603;La Peltrie;2014-04-07;G;Québec, v;3;Regr. BVO-62;63;0;0;0;0;0;0;0;0;0;0;
603;La Peltrie;2014-04-07;G;Québec, v;3;;64;277;0;84;12;1;43;11;1;152;2;
603;La Peltrie;2014-04-07;G;Québec, v;3;;65;256;3;83;19;0;39;7;2;153;2;
603;La Peltrie;2014-04-07;G;Québec, v;3;;66;287;2;74;18;1;37;13;1;146;1;
603;La Peltrie;2014-04-07;G;Québec, v;3;;67;269;1;92;13;3;27;3;3;142;4;
603;La Peltrie;2014-04-07;G;Québec, v;3;;68;276;2;61;16;1;48;4;3;135;3;
603;La Peltrie;2014-04-07;G;Québec, v;3;;69;295;3;90;14;0;43;6;3;159;2;
603;La Peltrie;2014-04-07;G;Québec, v;3;;70;271;3;58;20;1;53;9;1;145;1;
603;La Peltrie;2014-04-07;G;Québec, v;3;;71;307;0;92;23;2;68;5;0;190;0;
603;La Peltrie;2014-04-07;G;Québec, v;4;;72;273;1;69;26;1;43;7;0;147;0;
603;La Peltrie;2014-04-07;G;Québec, v;4;;73;271;0;72;22;0;46;8;0;148;0;
603;La Peltrie;2014-04-07;G;Québec, v;4;;74;293;0;67;25;0;49;12;1;154;2;
603;La Peltrie;2014-04-07;G;Québec, v;4;;75;315;2;82;10;0;54;5;2;155;2;
603;La Peltrie;2014-04-07;G;Québec, v;4;;76A;234;0;72;13;0;34;10;0;129;2;
603;La Peltrie;2014-04-07;G;Québec, v;4;;76B;207;1;67;16;0;29;4;1;118;1;
603;La Peltrie;2014-04-07;G;Québec, v;4;;77;280;0;80;26;1;46;18;2;173;7;
603;La Peltrie;2014-04-07;G;Québec, v;4;;78;282;1;68;23;1;52;11;2;158;6;
603;La Peltrie;2014-04-07;G;Québec, v;4;;79;334;1;102;31;0;60;12;3;209;6;
603;La Peltrie;2014-04-07;G;Québec, v;4;;80A;211;3;71;18;1;36;4;1;134;0;
603;La Peltrie;2014-04-07;G;Québec, v;4;;80B;270;0;67;6;3;46;6;0;128;0;
603;La Peltrie;2014-04-07;G;Québec, v;5;;81A;253;2;91;15;0;27;5;1;141;0;
603;La Peltrie;2014-04-07;G;Québec, v;5;;81B;200;0;70;3;0;18;0;2;93;1;
603;La Peltrie;2014-04-07;G;Québec, v;5;;82;384;0;115;10;4;54;6;2;191;2;
603;La Peltrie;2014-04-07;G;Québec, v;5;;83;282;2;97;10;0;29;3;3;144;0;
603;La Peltrie;2014-04-07;G;Québec, v;5;;84A;226;1;46;8;1;47;5;2;110;4;
603;La Peltrie;2014-04-07;G;Québec, v;5;;84B;286;0;91;3;0;38;3;0;135;1;
603;La Peltrie;2014-04-07;G;Québec, v;5;;85;265;0;93;14;4;40;1;1;153;3;
603;La Peltrie;2014-04-07;G;Québec, v;5;;86A;292;0;87;18;1;36;5;3;150;2;
603;La Peltrie;2014-04-07;G;Québec, v;5;;86B;342;2;112;11;1;49;8;2;185;3;
603;La Peltrie;2014-04-07;G;Québec, v;5;;87;306;0;122;23;2;52;6;3;208;2;
603;La Peltrie;2014-04-07;G;Québec, v;5;;88;312;1;108;8;0;69;1;1;188;3;
603;La Peltrie;2014-04-07;G;Québec, v;5;;89;271;0;61;12;0;45;3;4;125;2;
603;La Peltrie;2014-04-07;G;Québec, v;5;;90;266;2;73;14;0;45;2;0;136;0;
603;La Peltrie;2014-04-07;G;Québec, v;5;;91;301;2;88;17;1;50;2;2;162;1;
603;La Peltrie;2014-04-07;G;Québec, v;5;;92;270;1;65;15;0;30;8;0;119;0;
603;La Peltrie;2014-04-07;G;Québec, v;5;;93;259;0;93;15;0;40;7;1;156;0;
603;La Peltrie;2014-04-07;G;Québec, v;6;;94;303;0;77;19;2;38;5;3;144;2;
603;La Peltrie;2014-04-07;G;Québec, v;6;;95;375;0;114;13;1;41;5;2;176;3;
603;La Peltrie;2014-04-07;G;Québec, v;6;;96;290;4;67;11;0;30;8;6;126;3;
603;La Peltrie;2014-04-07;G;Québec, v;6;;97;270;1;68;7;0;34;1;2;113;2;
603;La Peltrie;2014-04-07;G;Québec, v;6;;98;303;0;98;10;1;37;6;4;156;1;
603;La Peltrie;2014-04-07;G;Québec, v;6;;99;405;2;126;26;0;49;3;1;207;3;
603;La Peltrie;2014-04-07;G;Québec, v;6;;100;341;3;95;19;2;54;8;0;181;2;
603;La Peltrie;2014-04-07;G;Québec, v;6;;101;328;0;85;12;2;49;5;2;155;3;
603;La Peltrie;2014-04-07;G;Québec, v;6;;102;290;0;90;14;2;34;5;4;149;2;
603;La Peltrie;2014-04-07;G;Québec, v;6;;103;286;0;82;13;0;37;7;3;142;2;
603;La Peltrie;2014-04-07;G;Québec, v;6;;104;403;0;120;17;0;46;6;1;190;1;
603;La Peltrie;2014-04-07;G;Québec, v;7;;105;293;0;97;10;1;38;18;2;166;0;
603;La Peltrie;2014-04-07;G;Québec, v;7;;106;328;6;91;20;0;45;1;1;164;2;
603;La Peltrie;2014-04-07;G;Québec, v;7;;107;323;2;89;15;0;38;5;1;150;2;
603;La Peltrie;2014-04-07;G;Québec, v;7;;108;285;1;68;17;1;34;3;0;124;3;
603;La Peltrie;2014-04-07;G;Québec, v;7;;109;277;1;77;17;0;29;8;2;134;2;
603;La Peltrie;2014-04-07;G;Québec, v;7;;110A;343;1;131;17;4;57;4;3;217;0;
603;La Peltrie;2014-04-07;G;Québec, v;7;;110B;285;2;97;13;2;37;3;3;157;0;
603;La Peltrie;2014-04-07;G;Québec, v;7;;111;399;1;121;6;1;59;6;2;196;2;
603;La Peltrie;2014-04-07;G;Québec, v;7;;112A;198;0;45;2;0;21;2;2;72;2;
603;La Peltrie;2014-04-07;G;Québec, v;7;;112B;240;1;82;6;1;31;2;2;125;1;
603;La Peltrie;2014-04-07;G;Québec, v;7;;113;394;1;152;7;1;63;5;2;231;4;
603;La Peltrie;2014-04-07;G;Québec, v;7;;114;305;1;81;19;1;46;1;5;154;0;
603;La Peltrie;2014-04-07;G;Québec, v;7;;115A;312;1;117;12;0;58;4;2;194;1;
603;La Peltrie;2014-04-07;G;Québec, v;7;;115B;294;0;126;11;0;38;6;3;184;3;
603;La Peltrie;2014-04-07;G;Québec, v;8;;116;293;1;82;13;1;44;2;0;143;0;
603;La Peltrie;2014-04-07;G;Québec, v;8;;117;401;1;126;24;0;53;4;3;211;2;
603;La Peltrie;2014-04-07;G;Québec, v;8;;118;294;3;94;15;1;46;7;1;167;1;
603;La Peltrie;2014-04-07;G;Québec, v;8;;119;392;2;131;13;0;61;3;4;214;3;
603;La Peltrie;2014-04-07;G;Québec, v;8;;120;304;4;86;13;1;38;13;1;156;1;
603;La Peltrie;2014-04-07;G;Québec, v;8;;121;376;0;131;19;0;57;4;2;213;2;
603;La Peltrie;2014-04-07;G;Québec, v;8;;122;290;4;99;16;1;31;11;2;164;1;
603;La Peltrie;2014-04-07;G;Québec, v;8;;123;382;0;120;17;2;57;4;1;201;2;
603;La Peltrie;2014-04-07;G;Québec, v;8;;124;401;1;104;13;1;77;6;2;204;0;
603;La Peltrie;2014-04-07;G;Québec, v;8;;125A;235;2;70;10;1;34;5;1;123;3;
603;La Peltrie;2014-04-07;G;Québec, v;8;;125B;246;1;117;2;1;23;2;1;147;3;
603;La Peltrie;2014-04-07;G;Québec, v;82;;126;306;2;125;12;0;58;4;2;203;1;
603;La Peltrie;2014-04-07;G;Québec, v;82;;127;391;0;121;18;2;64;8;3;216;1;
603;La Peltrie;2014-04-07;G;Québec, v;82;;128;283;2;86;11;0;51;11;3;164;1;
603;La Peltrie;2014-04-07;G;Québec, v;82;;129;323;1;98;16;0;54;9;5;183;1;
603;La Peltrie;2014-04-07;G;Québec, v;82;;130;301;0;112;28;2;38;11;2;193;0;
603;La Peltrie;2014-04-07;G;Québec, v;82;;131;370;2;122;20;1;37;7;0;189;8;
603;La Peltrie;2014-04-07;G;Québec, v;82;;132;324;0;79;19;0;47;9;1;155;2;
603;La Peltrie;2014-04-07;G;Québec, v;82;;133;409;3;99;31;0;79;6;2;220;9;
603;La Peltrie;2014-04-07;G;Québec, v;82;;134A;281;0;75;15;0;38;5;5;138;0;
603;La Peltrie;2014-04-07;G;Québec, v;82;;134B;200;2;77;14;0;27;0;2;122;1;
603;La Peltrie;2014-04-07;G;Québec, v;82;;135A;225;4;69;7;1;43;3;0;127;2;
603;La Peltrie;2014-04-07;G;Québec, v;82;;135B;201;0;52;19;0;27;3;3;104;1;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;136;296;1;100;6;0;46;9;1;163;3;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;137;320;1;105;14;0;57;3;6;186;2;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;138;304;0;85;23;2;48;9;1;168;3;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;139A;274;0;87;6;2;63;2;4;164;2;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;139B;203;1;67;14;0;38;3;0;123;2;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;140A;233;0;83;8;0;33;2;5;131;0;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;140B;277;0;77;2;1;54;5;5;144;1;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;141;364;1;100;10;1;65;3;6;186;5;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;142A;236;0;63;12;1;37;5;1;119;3;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;142B;206;0;61;9;0;27;3;4;104;5;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;143;359;0;96;18;2;63;7;5;191;5;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;144;274;0;83;19;1;28;3;3;137;4;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;145;380;4;96;10;3;49;9;4;175;2;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;146A;231;0;86;7;2;36;1;1;133;2;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;146B;262;0;93;7;2;40;2;2;146;3;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;147;295;1;93;14;1;48;2;3;162;0;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;148;338;0;88;16;2;63;9;2;180;0;
603;La Peltrie;2014-04-07;G;Sainte-Catherine-de-la-Jacques-Cartier, v;1;;149;397;2;94;22;2;83;2;1;206;2;
603;La Peltrie;2014-04-07;G;Fossambault-sur-le-Lac, v;1;;150;300;1;100;19;0;61;6;6;193;1;
603;La Peltrie;2014-04-07;G;Fossambault-sur-le-Lac, v;1;;151;308;0;89;22;0;59;10;3;183;1;
603;La Peltrie;2014-04-07;G;Fossambault-sur-le-Lac, v;1;;152;365;4;112;22;0;70;11;1;220;4;
603;La Peltrie;2014-04-07;G;Fossambault-sur-le-Lac, v;1;;153;383;0;86;16;0;60;5;3;170;5;
603;La Peltrie;2014-04-07;G;Lac-Saint-Joseph, v;1;;154;188;0;31;8;0;31;1;0;71;0;
603;La Peltrie;2014-04-07;G;Shannon, m;1;;155;419;0;141;13;1;67;1;6;229;0;
603;La Peltrie;2014-04-07;G;Shannon, m;1;;156A;219;1;83;2;1;36;2;4;129;0;
603;La Peltrie;2014-04-07;G;Shannon, m;1;;156B;248;0;82;5;0;36;2;1;126;3;
603;La Peltrie;2014-04-07;G;Shannon, m;1;;157A;245;1;63;9;2;52;6;3;136;2;
603;La Peltrie;2014-04-07;G;Shannon, m;1;;157B;200;0;63;3;1;34;2;3;106;2;
603;La Peltrie;2014-04-07;G;Shannon, m;1;;158;389;0;120;7;1;66;2;0;196;1;
603;La Peltrie;2014-04-07;G;Shannon, m;1;;159;348;2;87;16;0;68;5;9;187;1;
603;La Peltrie;2014-04-07;G;Shannon, m;1;;160A;232;0;62;11;1;35;2;0;111;0;
603;La Peltrie;2014-04-07;G;Shannon, m;1;;160B;213;0;71;5;0;45;0;0;121;0;
603;La Peltrie;2014-04-07;G;Shannon, m;1;;161;368;0;114;4;1;80;3;0;202;1;
603;La Peltrie;2014-04-07;G;Shannon, m;1;;162;272;1;59;4;0;39;4;7;114;0;
603;La Peltrie;2014-04-07;G;Shannon, m;1;;163;235;1;46;1;1;45;6;8;108;2;
603;La Peltrie;2014-04-07;G;Shannon, m;1;;164;218;0;46;3;3;37;0;8;97;1;
603;La Peltrie;2014-04-07;G;Saint-Gabriel-de-Valcartier, m;1;;165;169;0;42;3;0;25;0;5;75;0;
603;La Peltrie;2014-04-07;G;Saint-Gabriel-de-Valcartier, m;1;;166;359;1;99;12;0;73;1;3;189;0;
603;La Peltrie;2014-04-07;G;Saint-Gabriel-de-Valcartier, m;1;;167;336;1;97;18;2;66;6;4;194;2;
603;La Peltrie;2014-04-07;G;Saint-Gabriel-de-Valcartier, m;1;;168;327;1;103;13;0;68;9;0;194;2;
603;La Peltrie;2014-04-07;G;Saint-Gabriel-de-Valcartier, m;1;;169;395;0;125;24;1;65;13;1;229;2;
603;La Peltrie;2014-04-07;G;Saint-Gabriel-de-Valcartier, m;1;;170;388;0;145;10;1;69;4;1;230;1;
603;La Peltrie;2014-04-07;G;BVA1;;;;0;2;242;100;2;269;18;1;634;6;
603;La Peltrie;2014-04-07;G;BVA2;;;;0;3;267;80;0;331;15;7;703;8;
603;La Peltrie;2014-04-07;G;BVA3;;;;0;1;262;64;1;274;11;5;618;1;
603;La Peltrie;2014-04-07;G;BVA4;;;;0;3;236;80;1;240;11;5;576;2;
603;La Peltrie;2014-04-07;G;BVA5;;;;0;4;287;84;1;315;17;7;715;4;
603;La Peltrie;2014-04-07;G;BVA6;;;;0;3;156;65;0;226;18;6;474;5;
603;La Peltrie;2014-04-07;G;BVA7;;;;0;2;196;98;4;266;30;12;608;4;
603;La Peltrie;2014-04-07;G;BVA8;;;;0;2;232;88;0;239;17;6;584;3;
603;La Peltrie;2014-04-07;G;BVA9;;;;0;3;208;112;0;264;21;8;616;2;
603;La Peltrie;2014-04-07;G;BVA10;;;;0;2;260;52;2;224;10;13;563;2;
603;La Peltrie;2014-04-07;G;BVA11;;;;0;2;203;67;1;215;9;5;502;7;
603;La Peltrie;2014-04-07;G;BVA12;;;;0;6;245;74;3;264;7;11;610;5;
603;La Peltrie;2014-04-07;G;BVA13;;;;0;2;229;63;3;216;14;7;534;8;
603;La Peltrie;2014-04-07;G;BVA14;;;;0;4;234;46;3;211;5;5;508;0;
603;La Peltrie;2014-04-07;G;BVA15;;;;0;2;191;68;1;248;12;13;535;4;
603;La Peltrie;2014-04-07;G;BVA16;;;;0;1;177;63;0;229;12;4;486;4;
603;La Peltrie;2014-04-07;G;BVA17;;;;0;2;170;40;0;191;7;4;414;2;
603;La Peltrie;2014-04-07;G;BVA18;;;;0;4;181;51;2;164;13;3;418;0;
603;La Peltrie;2014-04-07;G;BVA19;;;;0;3;162;74;4;218;13;3;477;0;
603;La Peltrie;2014-04-07;G;BVA20;;;;0;0;173;28;2;214;4;7;428;3;
603;La Peltrie;2014-04-07;G;BVA21;;;;0;0;82;19;1;123;4;9;238;1;
603;La Peltrie;2014-04-07;G;BVA22;;;;0;0;121;23;1;186;7;6;344;1;
603;La Peltrie;2014-04-07;G;Vote en installation d'hébergement;;;;0;8;113;41;2;188;9;1;362;2;
603;La Peltrie;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;3;9;9;0;16;1;0;38;1;
603;La Peltrie;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;4;124;39;1;140;13;7;328;2;
603;La Peltrie;2014-04-07;G;Vote hors circonscription;;;;0;15;261;78;8;304;70;14;750;24;
603;La Peltrie;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;204;0;0;0;0;0;0;0;0;0;
603;La Peltrie;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;9;0;0;0;0;0;0;0;0;0;
603;La Peltrie;2014-04-07;G;Total de la circonscription;;;;55695;274;21386;4281;185;14362;1444;561;42493;473;
603;La Peltrie;2014-04-07;G;Majorité en faveur de Éric Caire : 7024
