Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Brien Dany O.N. - P.I.Q.;Delmé Linda Q.S.;Lahaie Patrick P.Q.;Plante Marc H. P.L.Q./Q.L.P.;Poisson Martin C.A.Q.-É.F.L.;Requilé Laurence J. P.Éq.;Richmond François-Xavier M.P.Q.;Thibodeau Jimmy P.N.;B.V.;B.R.;
349;Maskinongé;2014-04-07;G;Maskinongé, m;1;;1;361;0;6;60;100;53;0;0;1;220;5;
349;Maskinongé;2014-04-07;G;Maskinongé, m;1;;2;362;1;7;62;79;56;0;0;2;207;5;
349;Maskinongé;2014-04-07;G;Maskinongé, m;1;;3;387;1;8;63;87;55;2;0;4;220;6;
349;Maskinongé;2014-04-07;G;Maskinongé, m;1;;4;364;1;6;45;109;61;0;0;2;224;5;
349;Maskinongé;2014-04-07;G;Maskinongé, m;1;;5;373;0;16;66;106;58;1;0;3;250;2;
349;Maskinongé;2014-04-07;G;Saint-Justin, p;1;;6;418;1;17;68;85;81;4;1;1;258;3;
349;Maskinongé;2014-04-07;G;Saint-Justin, p;1;;7;403;5;10;83;79;86;0;1;4;268;0;
349;Maskinongé;2014-04-07;G;Sainte-Ursule, p;1;;8;374;0;14;55;74;45;2;1;2;193;2;
349;Maskinongé;2014-04-07;G;Sainte-Ursule, p;1;;9;352;0;15;53;57;59;2;0;1;187;3;
349;Maskinongé;2014-04-07;G;Sainte-Ursule, p;1;;10;399;0;11;66;82;43;0;0;0;202;6;
349;Maskinongé;2014-04-07;G;Saint-Édouard-de-Maskinongé, m;1;;11;315;4;12;43;65;37;0;0;3;164;4;
349;Maskinongé;2014-04-07;G;Saint-Édouard-de-Maskinongé, m;1;;12;298;0;5;24;81;37;2;0;1;150;4;
349;Maskinongé;2014-04-07;G;Sainte-Angèle-de-Prémont, m;1;;13;280;1;8;51;62;37;1;0;1;161;4;
349;Maskinongé;2014-04-07;G;Sainte-Angèle-de-Prémont, m;1;;14;270;1;3;55;61;37;2;1;2;162;1;
349;Maskinongé;2014-04-07;G;Saint-Paulin, m;1;;15;296;1;7;39;52;45;3;1;1;149;5;
349;Maskinongé;2014-04-07;G;Saint-Paulin, m;1;;16;309;0;9;35;50;27;5;1;2;129;2;
349;Maskinongé;2014-04-07;G;Saint-Paulin, m;1;;17;300;1;15;32;50;46;2;0;2;148;0;
349;Maskinongé;2014-04-07;G;Saint-Paulin, m;1;;18;310;1;9;20;89;39;1;1;0;160;1;
349;Maskinongé;2014-04-07;G;Saint-Alexis-des-Monts, p;1;;19;367;1;14;50;110;47;0;0;0;222;2;
349;Maskinongé;2014-04-07;G;Saint-Alexis-des-Monts, p;1;;20;380;0;7;71;73;62;0;1;1;215;1;
349;Maskinongé;2014-04-07;G;Saint-Alexis-des-Monts, p;1;;21;390;0;17;54;70;41;1;1;0;184;3;
349;Maskinongé;2014-04-07;G;Saint-Alexis-des-Monts, p;1;;22;356;1;10;52;69;65;0;0;0;197;1;
349;Maskinongé;2014-04-07;G;Saint-Alexis-des-Monts, p;1;;23;352;1;12;43;119;46;1;0;1;223;3;
349;Maskinongé;2014-04-07;G;Saint-Alexis-des-Monts, p;1;;24;368;0;6;52;90;47;2;0;1;198;1;
349;Maskinongé;2014-04-07;G;Saint-Alexis-des-Monts, p;1;;25;370;0;12;69;100;38;1;0;0;220;4;
349;Maskinongé;2014-04-07;G;Saint-Élie-de-Caxton, m;1;;26;354;0;19;68;64;53;0;0;1;205;3;
349;Maskinongé;2014-04-07;G;Saint-Élie-de-Caxton, m;1;;27;359;1;24;65;56;42;1;0;1;190;4;
349;Maskinongé;2014-04-07;G;Saint-Élie-de-Caxton, m;1;;28;336;3;16;47;74;63;1;0;2;206;0;
349;Maskinongé;2014-04-07;G;Saint-Élie-de-Caxton, m;1;;29;361;0;15;38;104;67;2;0;5;231;2;
349;Maskinongé;2014-04-07;G;Charette, m;1;;30;390;0;8;53;82;52;1;0;3;199;10;
349;Maskinongé;2014-04-07;G;Charette, m;1;;31;407;2;13;70;101;69;0;0;2;257;12;
349;Maskinongé;2014-04-07;G;Saint-Barnabé, p;1;;32;315;3;13;59;56;54;0;0;2;187;5;
349;Maskinongé;2014-04-07;G;Saint-Barnabé, p;1;;33;343;4;16;52;72;63;0;0;2;209;2;
349;Maskinongé;2014-04-07;G;Saint-Barnabé, p;1;;34;313;1;9;38;85;59;1;1;0;194;1;
349;Maskinongé;2014-04-07;G;Saint-Sévère, p;1;;35;249;0;17;40;71;37;0;1;1;167;4;
349;Maskinongé;2014-04-07;G;Saint-Léon-le-Grand, p;1;;36;384;1;6;60;103;57;2;0;2;231;3;
349;Maskinongé;2014-04-07;G;Saint-Léon-le-Grand, p;1;;37;387;0;16;49;104;65;0;0;5;239;5;
349;Maskinongé;2014-04-07;G;Louiseville, v;1;;38;364;0;2;54;72;50;0;1;0;179;3;
349;Maskinongé;2014-04-07;G;Louiseville, v;1;;39;379;1;3;36;96;67;0;0;0;203;0;
349;Maskinongé;2014-04-07;G;Louiseville, v;1;;40;366;3;8;24;71;39;0;0;0;145;4;
349;Maskinongé;2014-04-07;G;Louiseville, v;1;;41;442;0;8;36;58;39;0;0;3;144;3;
349;Maskinongé;2014-04-07;G;Louiseville, v;1;;42;384;0;2;26;65;23;0;1;0;117;3;
349;Maskinongé;2014-04-07;G;Louiseville, v;1;;43;385;0;13;46;53;43;0;0;0;155;1;
349;Maskinongé;2014-04-07;G;Louiseville, v;1;;44;373;0;8;43;54;51;1;0;1;158;2;
349;Maskinongé;2014-04-07;G;Louiseville, v;2;;45;411;1;5;33;74;35;0;0;1;149;2;
349;Maskinongé;2014-04-07;G;Louiseville, v;2;;46;403;0;1;41;75;59;0;0;1;177;1;
349;Maskinongé;2014-04-07;G;Louiseville, v;2;;47;401;1;5;47;76;38;2;0;1;170;1;
349;Maskinongé;2014-04-07;G;Louiseville, v;2;;48;365;0;11;27;74;58;0;1;0;171;0;
349;Maskinongé;2014-04-07;G;Louiseville, v;2;;49;462;0;7;29;60;44;0;0;0;140;1;
349;Maskinongé;2014-04-07;G;Louiseville, v;2;;50;401;0;7;34;51;21;1;1;1;116;0;
349;Maskinongé;2014-04-07;G;Louiseville, v;2;;51;489;1;12;33;57;35;1;0;1;140;4;
349;Maskinongé;2014-04-07;G;Louiseville, v;2;;52;402;0;12;68;93;39;0;0;4;216;2;
349;Maskinongé;2014-04-07;G;Yamachiche, m;1;;53;358;2;7;33;80;61;0;0;2;185;1;
349;Maskinongé;2014-04-07;G;Yamachiche, m;1;;54;381;1;7;54;88;36;0;0;2;188;3;
349;Maskinongé;2014-04-07;G;Yamachiche, m;1;;55;383;1;4;42;78;47;1;0;2;175;2;
349;Maskinongé;2014-04-07;G;Yamachiche, m;1;;56;350;3;15;27;48;49;0;0;1;143;4;
349;Maskinongé;2014-04-07;G;Yamachiche, m;1;;57;362;0;6;48;66;73;1;0;0;194;2;
349;Maskinongé;2014-04-07;G;Yamachiche, m;1;;58;358;0;11;44;74;72;1;0;1;203;4;
349;Maskinongé;2014-04-07;G;Saint-Étienne-des-Grès, p;1;;59;414;0;20;58;45;78;1;0;2;204;5;
349;Maskinongé;2014-04-07;G;Saint-Étienne-des-Grès, p;1;;60;378;0;17;28;54;74;2;0;4;179;9;
349;Maskinongé;2014-04-07;G;Saint-Étienne-des-Grès, p;1;;61;393;1;9;53;53;102;0;1;2;221;1;
349;Maskinongé;2014-04-07;G;Saint-Étienne-des-Grès, p;1;;62;379;3;10;38;56;83;1;0;3;194;8;
349;Maskinongé;2014-04-07;G;Saint-Étienne-des-Grès, p;1;;63;391;2;23;50;47;60;1;0;3;186;8;
349;Maskinongé;2014-04-07;G;Saint-Étienne-des-Grès, p;1;;64;378;0;14;43;49;86;1;0;1;194;0;
349;Maskinongé;2014-04-07;G;Saint-Étienne-des-Grès, p;1;;65;382;1;14;62;64;106;0;0;0;247;3;
349;Maskinongé;2014-04-07;G;Saint-Étienne-des-Grès, p;1;;66;383;0;13;38;62;67;1;0;2;183;4;
349;Maskinongé;2014-04-07;G;Saint-Étienne-des-Grès, p;1;;67;347;1;7;34;50;62;0;1;1;156;0;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;68;386;0;7;48;58;54;2;1;1;171;3;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;69;399;1;21;57;49;97;1;0;2;228;6;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;70;400;0;12;47;59;120;0;0;1;239;8;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;71;401;3;18;44;75;93;0;0;0;233;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;72;389;1;18;43;59;76;0;0;5;202;4;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;73;370;2;6;41;53;89;0;0;2;193;4;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;74;372;0;15;42;66;87;1;0;5;216;3;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;75;405;1;6;54;59;84;1;1;4;210;5;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;76;372;3;6;41;57;76;3;0;2;188;7;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;77;394;0;22;45;52;61;0;0;4;184;4;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;78;369;0;10;50;70;45;0;0;5;180;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;79;375;0;13;44;71;61;0;0;5;194;5;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;80;394;0;13;43;75;98;0;0;2;231;3;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;81;350;1;10;44;60;88;0;0;2;205;2;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;82;393;1;18;46;75;77;1;0;1;219;6;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;83;376;0;12;40;71;86;1;0;3;213;3;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;1;;84;388;1;9;53;57;54;1;0;1;176;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;2;;85;366;0;16;40;57;54;1;0;4;172;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;2;;86;360;3;10;44;76;66;0;0;2;201;2;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;2;;87;379;2;13;58;62;104;0;0;1;240;5;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;2;;88;347;0;9;48;42;67;2;0;3;171;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;2;;89;385;0;14;47;81;86;0;0;4;232;2;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;2;;90;485;0;12;58;53;83;0;0;3;209;3;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;2;;91;363;2;11;62;67;68;0;0;1;211;2;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;2;;92;367;2;18;37;75;72;1;0;5;210;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;2;;93;363;1;9;38;45;71;0;0;3;167;0;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;94;393;0;11;36;76;74;1;1;1;200;2;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;95;366;2;9;54;36;79;1;0;2;183;7;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;96;373;2;13;37;57;88;0;0;4;201;3;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;97;379;1;18;33;69;69;0;0;0;190;4;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;98;350;0;10;44;75;84;0;0;0;213;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;99;380;0;7;33;85;86;0;0;2;213;4;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;100;357;0;19;30;81;68;0;0;0;198;4;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;101;382;2;8;53;69;64;0;0;1;197;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;102;335;1;6;38;77;83;0;0;3;208;0;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;103;333;2;20;48;42;81;0;0;0;193;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;104;433;2;11;45;41;53;1;0;2;155;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;105;393;2;16;47;44;38;2;1;3;153;6;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;106;369;0;7;51;45;79;0;0;2;184;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;107;367;2;14;35;41;69;1;1;1;164;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;108;373;0;13;48;66;71;2;0;2;202;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;;109;363;1;16;39;73;57;0;0;0;186;3;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;4;;110;370;1;23;63;78;62;0;0;2;229;3;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;4;;111;345;0;17;45;75;64;0;0;0;201;2;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;4;;112;354;1;12;38;84;77;2;0;1;215;4;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;4;;113;348;1;18;45;74;63;0;0;1;202;3;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;4;;114;339;3;18;47;83;65;1;0;4;221;4;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;4;;115;349;3;25;53;85;70;0;0;0;236;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;5;;116;408;1;12;63;96;70;0;0;0;242;5;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;5;;117;415;0;12;75;73;74;0;0;1;235;5;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;5;;118;410;2;13;62;87;79;0;0;0;243;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;5;;119;419;0;8;52;92;98;1;1;1;253;7;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;5;;120;406;1;14;42;76;60;0;0;0;193;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;5;;121A;212;0;4;20;24;22;0;0;0;70;0;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;5;;121B;216;0;5;24;31;28;0;0;0;88;1;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;5;;122;676;0;20;49;67;79;1;0;0;216;4;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;6;;123;388;0;12;51;67;55;0;0;0;185;3;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;6;;124;371;0;15;48;70;83;0;0;1;217;6;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;6;;125;365;1;12;53;71;69;1;1;0;208;7;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;6;;126;382;2;18;38;57;74;1;0;2;192;2;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;6;;127;375;1;7;59;80;75;1;0;1;224;7;
349;Maskinongé;2014-04-07;G;Louiseville, v;1;Regr. BVO-41;500;0;0;0;0;0;0;0;0;0;0;0;
349;Maskinongé;2014-04-07;G;Louiseville, v;2;Regr. BVO-49;501;0;0;0;0;0;0;0;0;0;0;0;
349;Maskinongé;2014-04-07;G;Louiseville, v;2;Regr. BVO-51;502;0;0;0;0;0;0;0;0;0;0;0;
349;Maskinongé;2014-04-07;G;Louiseville, v;2;Regr. BVO-51;503;0;0;0;0;0;0;0;0;0;0;0;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;2;Regr. BVO-88;504;0;0;0;0;0;0;0;0;0;0;0;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;2;Regr. BVO-90;505;0;0;0;0;0;0;0;0;0;0;0;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;2;Regr. BVO-90;506;0;0;0;0;0;0;0;0;0;0;0;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;3;Regr. BVO-104;507;0;0;0;0;0;0;0;0;0;0;0;
349;Maskinongé;2014-04-07;G;Trois-Rivières, v;5;Regr. BVO-122;508;0;0;0;0;0;0;0;0;0;0;0;
349;Maskinongé;2014-04-07;G;BVA1;;;;0;0;5;94;176;53;1;0;0;329;2;
349;Maskinongé;2014-04-07;G;BVA2;;;;0;1;23;158;359;88;2;2;1;634;7;
349;Maskinongé;2014-04-07;G;BVA3;;;;0;1;18;158;400;92;1;0;4;674;7;
349;Maskinongé;2014-04-07;G;BVA4;;;;0;1;21;143;240;89;1;0;0;495;5;
349;Maskinongé;2014-04-07;G;BVA5;;;;0;8;23;116;220;66;5;0;1;439;1;
349;Maskinongé;2014-04-07;G;BVA6;;;;0;0;12;150;156;50;0;0;0;368;2;
349;Maskinongé;2014-04-07;G;BVA7;;;;0;1;25;161;268;84;3;0;1;543;6;
349;Maskinongé;2014-04-07;G;BVA8;;;;0;0;38;217;247;156;3;0;2;663;5;
349;Maskinongé;2014-04-07;G;BVA9;;;;0;3;27;159;279;139;2;1;2;612;4;
349;Maskinongé;2014-04-07;G;BVA10;;;;0;0;25;177;238;128;0;1;2;571;3;
349;Maskinongé;2014-04-07;G;BVA11;;;;0;1;21;163;228;112;0;0;0;525;2;
349;Maskinongé;2014-04-07;G;BVA12;;;;0;0;15;183;292;123;0;0;0;613;4;
349;Maskinongé;2014-04-07;G;BVA13;;;;0;1;38;195;336;129;0;0;2;701;5;
349;Maskinongé;2014-04-07;G;BVA14;;;;0;2;22;135;262;135;3;0;0;559;2;
349;Maskinongé;2014-04-07;G;BVA15;;;;0;3;33;192;273;104;0;0;0;605;6;
349;Maskinongé;2014-04-07;G;Vote en installation d'hébergement;;;;0;0;20;80;275;36;4;5;4;424;7;
349;Maskinongé;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;1;9;37;175;26;1;1;0;250;6;
349;Maskinongé;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;3;15;69;165;58;2;0;1;313;0;
349;Maskinongé;2014-04-07;G;Vote hors circonscription;;;;0;12;123;161;184;125;5;1;10;621;13;
349;Maskinongé;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;121;0;0;0;0;0;0;0;0;0;0;
349;Maskinongé;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;14;0;0;0;0;0;0;0;0;0;0;
349;Maskinongé;2014-04-07;G;Total de la circonscription;;;;47793;154;2013;8739;13658;9846;119;35;238;34802;481;
349;Maskinongé;2014-04-07;G;Majorité en faveur de Marc H. Plante : 3812
