Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Bandou Rachid P.Q.;Beaudry Jennifer O.N. - P.I.Q.;Deschamps Fernand P.M.L.Q.;Diallo Tidiane P.V.Q./G.P.Q.;Fournier Jean-Marc P.L.Q./Q.L.P.;Kadiri Hasnaa Q.S.;Morissette Guy É.A.P. - P.C.Q.;B.V.;B.R.;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;1;505;39;2;1;2;119;12;3;178;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;Regr. BVO-1;2;0;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;3;284;18;1;0;4;149;8;4;184;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;4;236;6;2;0;4;127;4;2;145;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;5;269;23;1;0;5;145;11;1;186;6;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;6;356;21;0;0;4;192;9;2;228;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;7;296;8;2;0;2;122;5;5;144;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;8;279;15;2;1;2;133;14;3;170;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;9;289;30;1;0;4;136;22;6;199;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;21;;10;301;12;0;1;2;169;5;0;189;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;11;286;5;1;0;3;168;1;0;178;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;12;282;8;0;1;1;136;5;2;153;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;13;293;17;1;2;3;149;5;2;179;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;14;290;20;0;2;11;152;16;0;201;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;15;315;30;2;0;2;142;15;1;192;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;16;296;15;2;0;4;135;15;2;173;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;17;567;15;1;2;4;118;7;2;149;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;Regr. BVO-17;18;0;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;Regr. BVO-17;19;0;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;22;;20;275;32;0;0;6;73;20;4;135;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;21;316;33;2;0;3;88;23;3;152;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;22;272;44;1;1;6;67;22;1;142;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;23;273;23;1;0;3;70;10;4;111;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;24;298;20;2;2;3;92;7;3;129;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;25;327;17;0;0;2;105;6;2;132;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;26;238;10;1;1;3;78;3;1;97;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;27;352;20;0;0;2;122;22;1;167;6;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;28;487;23;2;0;1;54;4;1;85;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;Regr. BVO-28;29;0;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;30;340;40;0;2;4;61;21;0;128;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;;31;270;41;1;1;4;69;30;1;147;6;
417;Saint-Laurent;2014-04-07;G;Montréal, v;24;;32;249;21;2;1;2;84;23;5;138;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;24;;33;287;40;1;0;3;101;44;2;191;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;24;;34;289;20;3;1;8;93;31;1;157;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;24;;35;292;55;3;1;5;83;52;0;199;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;24;;36;285;58;5;1;8;78;34;1;185;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;24;;37;320;22;4;0;7;158;15;3;209;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;25;;38;307;21;0;0;2;135;13;3;174;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;25;;39;313;42;1;1;4;147;16;1;212;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;25;;40;304;12;4;1;5;195;14;1;232;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;25;;41;263;17;2;0;5;125;13;1;163;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;25;;42;294;18;0;0;2;115;10;3;148;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;25;;43;273;33;0;0;2;103;17;1;156;7;
417;Saint-Laurent;2014-04-07;G;Montréal, v;25;;44;273;13;1;2;0;96;5;1;118;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;26;;45;264;10;0;1;2;133;3;1;150;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;26;;46;273;10;0;1;4;137;7;4;163;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;26;;47;285;30;3;0;4;115;10;3;165;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;26;;48;257;11;0;0;0;99;4;4;118;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;26;;49;260;14;0;0;1;134;7;2;158;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;26;;50;327;8;0;0;0;27;8;0;43;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;26;;51A;232;2;1;0;1;33;1;2;40;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;26;;51B;212;11;0;0;1;123;6;2;143;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;26;;52;255;1;0;0;3;93;5;2;104;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;26;;53;297;10;0;1;3;112;5;0;131;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;26;;54;244;7;1;1;5;102;4;1;121;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;26;;55;229;6;2;0;3;87;2;2;102;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;27;;56;301;5;0;0;2;144;5;1;157;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;27;;57;305;17;2;0;5;111;12;5;152;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;27;;58;284;4;1;0;5;129;4;8;151;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;27;;59;265;10;2;1;6;128;2;5;154;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;27;;60;306;6;0;0;1;170;4;2;183;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;27;;61;291;9;0;0;0;152;7;2;170;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;27;;62;288;11;0;0;4;150;7;3;175;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;27;;63;289;19;0;0;6;141;11;4;181;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;27;;64;299;12;2;2;0;154;3;0;173;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;65;282;5;2;1;7;161;12;1;189;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;66;283;9;1;1;2;165;5;0;183;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;67A;367;6;1;0;5;187;4;4;207;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;67B;234;9;1;0;3;131;6;1;151;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;68;272;16;0;0;2;152;10;2;182;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;69;268;5;0;1;6;135;0;1;148;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;70;308;3;0;0;3;153;2;0;161;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;71;295;11;2;0;2;114;6;1;136;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;72;312;4;2;0;0;190;0;0;196;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;73;276;1;0;1;2;167;1;4;176;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;74A;335;1;0;0;2;170;1;4;178;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;74B;394;4;0;0;3;196;7;4;214;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;75;408;8;0;0;2;180;9;6;205;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;76A;350;20;0;1;3;164;4;2;194;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;76B;339;4;0;0;0;159;3;4;170;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;77A;227;10;0;0;0;120;2;1;133;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;77B;363;5;1;0;1;156;3;0;166;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;78;259;14;3;0;2;94;7;4;124;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;79A;193;9;1;0;0;81;7;2;100;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;79B;237;17;1;0;4;111;2;2;137;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;80A;259;7;1;0;4;120;5;1;138;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;80B;332;15;1;0;7;149;9;5;186;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;80C;305;9;2;0;3;141;5;2;162;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;81;279;10;0;1;2;113;4;1;131;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;28;;82;348;7;1;0;2;151;10;0;171;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;83;300;3;0;0;0;99;9;0;111;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;84;288;2;3;0;2;109;4;1;121;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;85;281;3;0;0;3;156;6;0;168;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;86;271;2;0;0;2;73;1;0;78;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;87;273;1;0;0;1;97;1;2;102;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;Regr. BVO-89;88;0;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;89;353;3;0;1;1;84;2;0;91;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;90;294;1;0;0;3;126;6;0;136;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;91;279;9;0;0;2;115;4;1;131;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;92;312;5;0;0;1;136;5;0;147;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;93;400;4;1;0;3;200;7;3;218;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;94;354;10;0;0;4;121;5;6;146;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;95;271;9;0;1;1;110;4;3;128;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;96;276;12;0;0;6;133;4;0;155;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;97;251;8;2;0;1;99;7;0;117;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;98;298;15;1;1;3;114;9;1;144;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;99;256;9;0;0;3;107;1;0;120;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;100A;525;12;0;1;3;129;5;1;151;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;100B;207;3;0;0;4;103;3;1;114;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;Regr. BVO-100a;101;0;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;102;304;10;0;3;0;123;11;2;149;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;103;358;5;1;1;2;157;15;2;183;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;29;;104;282;21;2;0;4;95;6;1;129;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;30;;105A;326;20;1;2;6;203;18;5;255;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;30;;105B;289;1;0;1;0;33;3;1;39;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;30;;106;286;7;2;1;5;144;5;2;166;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;30;;107;258;11;1;1;0;110;3;1;127;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;30;;108;273;16;1;1;4;120;13;2;157;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;30;;109;310;10;1;1;9;127;5;0;153;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;31;;110;310;12;0;1;2;132;2;1;150;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;31;;111;292;16;1;1;2;117;26;3;166;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;31;;112;275;13;0;1;2;132;4;2;154;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;31;;113;279;22;2;2;6;102;16;2;152;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;31;;114;295;10;1;0;3;151;14;0;179;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;32;;115;255;6;0;0;3;84;6;2;101;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;32;;116;244;8;0;0;5;85;1;0;99;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;32;;117;218;5;0;1;4;75;3;0;88;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;32;;118;285;4;0;0;5;110;3;1;123;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;32;;119;330;8;0;0;9;168;3;0;188;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;33;;120;282;6;1;0;3;103;11;4;128;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;33;;121;296;8;0;0;2;90;3;1;104;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;33;;122;272;6;0;0;3;105;3;3;120;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;33;;123;329;3;1;1;2;162;2;2;173;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;33;;124;294;8;0;0;5;138;8;0;159;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;33;;125;307;4;4;0;8;127;9;4;156;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;33;;126;229;3;1;0;1;78;2;1;86;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;33;;127;334;9;0;2;2;112;8;0;133;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;33;;128;302;13;0;1;3;134;9;2;162;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;34;;129;395;41;1;1;8;126;26;3;206;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;34;;130;310;39;1;2;11;96;16;2;167;6;
417;Saint-Laurent;2014-04-07;G;Montréal, v;34;;131;321;33;11;1;6;96;39;0;186;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;34;;132;337;50;5;0;16;93;46;4;214;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;34;;133;308;33;1;1;17;110;30;4;196;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;34;;134;367;13;0;2;5;151;14;2;187;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;35;;135;359;12;6;0;6;177;23;1;225;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;35;;136;344;12;0;1;6;167;10;1;197;6;
417;Saint-Laurent;2014-04-07;G;Montréal, v;35;;137;301;27;1;2;4;117;17;1;169;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;35;;138;347;3;0;0;6;158;7;1;175;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;35;;139;312;13;2;0;4;145;20;4;188;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;35;;140;342;3;0;0;5;148;9;2;167;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;35;;141;325;8;2;0;1;186;10;1;208;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;36;;142;65;0;0;0;0;32;1;0;33;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;36;Regr. BVO-145;143;0;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;36;;144;267;4;0;0;4;132;6;1;147;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;36;;145;393;2;0;0;4;120;2;1;129;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;36;;146;298;0;0;1;3;150;1;0;155;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;36;;147;265;3;0;0;7;107;2;0;119;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;36;;148;275;4;0;0;4;114;6;2;130;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;36;;149;289;3;0;0;1;168;1;1;174;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;36;;150;292;5;1;1;3;114;1;1;126;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;36;;151;265;1;0;0;5;100;5;1;112;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;37;;152;327;4;0;0;1;134;1;0;140;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;37;;153;289;2;0;1;0;118;2;1;124;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;37;;154;314;2;0;0;8;187;1;1;199;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;37;;155;289;3;3;0;1;145;3;4;159;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;37;;156;313;4;0;0;3;193;2;0;202;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;37;;157;303;4;0;0;0;145;3;0;152;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;37;;158;337;5;1;0;0;179;2;3;190;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;38;;159;302;0;0;0;0;182;0;2;184;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;38;;160;335;0;0;0;1;179;3;0;183;4;
417;Saint-Laurent;2014-04-07;G;Montréal, v;38;;161;338;7;0;2;5;140;11;0;165;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;38;;162;358;3;0;0;2;154;3;0;162;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;38;;163;293;7;0;0;3;120;4;2;136;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;38;;164;317;3;1;1;6;171;7;1;190;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;39;;165;254;0;0;0;1;154;2;0;157;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;39;;166;278;3;0;0;2;171;2;2;180;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;39;;167;275;3;0;0;2;141;4;4;154;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;39;;168;273;4;0;0;4;101;2;1;112;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;39;;169;299;6;2;0;1;113;4;1;127;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;39;;170;276;1;0;0;5;141;0;0;147;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;40;;171;414;9;0;0;6;200;2;0;217;1;
417;Saint-Laurent;2014-04-07;G;Montréal, v;40;;172;323;14;1;2;6;148;7;4;182;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;40;;173;329;4;2;0;5;152;9;2;174;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;40;Regr. BVO-175a;174;0;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;40;;175A;485;32;2;1;14;123;28;3;203;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;40;;175B;279;5;3;1;2;134;4;2;151;3;
417;Saint-Laurent;2014-04-07;G;Montréal, v;40;;176;312;16;0;0;5;97;14;6;138;7;
417;Saint-Laurent;2014-04-07;G;Montréal, v;40;;177;328;46;6;1;10;66;31;5;165;2;
417;Saint-Laurent;2014-04-07;G;Montréal, v;40;;178;307;24;3;1;5;99;16;2;150;0;
417;Saint-Laurent;2014-04-07;G;Montréal, v;40;;179;382;17;1;1;5;139;25;2;190;5;
417;Saint-Laurent;2014-04-07;G;Montréal, v;23;Regr. BVO-30;180;0;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;BVA1;;;;0;24;2;1;1;322;16;1;367;3;
417;Saint-Laurent;2014-04-07;G;BVA2;;;;0;64;2;0;10;222;21;7;326;0;
417;Saint-Laurent;2014-04-07;G;BVA3;;;;0;78;1;0;9;301;30;5;424;10;
417;Saint-Laurent;2014-04-07;G;BVA4;;;;0;35;4;0;6;221;20;4;290;3;
417;Saint-Laurent;2014-04-07;G;BVA5;;;;0;35;3;1;6;404;23;3;475;6;
417;Saint-Laurent;2014-04-07;G;BVA6;;;;0;25;1;0;3;346;7;2;384;1;
417;Saint-Laurent;2014-04-07;G;BVA7;;;;0;21;2;3;6;337;12;2;383;1;
417;Saint-Laurent;2014-04-07;G;BVA8;;;;0;23;2;0;3;485;15;7;535;0;
417;Saint-Laurent;2014-04-07;G;BVA9;;;;0;44;0;0;6;482;16;5;553;3;
417;Saint-Laurent;2014-04-07;G;BVA10;;;;0;11;0;0;4;524;6;2;547;6;
417;Saint-Laurent;2014-04-07;G;BVA11;;;;0;41;0;3;4;422;13;6;489;3;
417;Saint-Laurent;2014-04-07;G;BVA12;;;;0;40;3;0;11;280;22;8;364;3;
417;Saint-Laurent;2014-04-07;G;BVA13;;;;0;27;1;2;6;325;9;4;374;4;
417;Saint-Laurent;2014-04-07;G;BVA14;;;;0;58;2;2;6;248;38;3;357;0;
417;Saint-Laurent;2014-04-07;G;BVA15;;;;0;37;5;1;6;334;25;0;408;7;
417;Saint-Laurent;2014-04-07;G;BVA16;;;;0;6;3;1;3;427;5;3;448;2;
417;Saint-Laurent;2014-04-07;G;BVA17;;;;0;9;1;1;4;375;3;5;398;0;
417;Saint-Laurent;2014-04-07;G;BVA18;;;;0;4;0;0;3;350;4;1;362;4;
417;Saint-Laurent;2014-04-07;G;BVA19;;;;0;41;4;2;6;177;21;4;255;3;
417;Saint-Laurent;2014-04-07;G;Vote en installation d'hébergement;;;;0;123;19;10;17;648;55;10;882;33;
417;Saint-Laurent;2014-04-07;G;Vote itinérant et au domicile de l'électeur;;;;0;7;0;0;0;35;0;0;42;0;
417;Saint-Laurent;2014-04-07;G;Vote au bureau du directeur du scrutin;;;;0;19;1;0;11;575;26;5;637;3;
417;Saint-Laurent;2014-04-07;G;Vote hors circonscription;;;;0;42;9;2;23;535;84;5;700;26;
417;Saint-Laurent;2014-04-07;G;Vote hors Québec;;Regr. VHC-1;;139;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;Vote des détenus;;Regr. VHC-1;;6;0;0;0;0;0;0;0;0;0;
417;Saint-Laurent;2014-04-07;G;Total de la circonscription;;;;55083;3106;236;115;796;31454;2100;420;38227;488;
417;Saint-Laurent;2014-04-07;G;Majorité en faveur de Jean-Marc Fournier : 28348
